Cluster,Length,Onset count,Coda count,Onset proportion,Coda proportion,Onset prob2,Coda prob2
"('S', 'T')",2,202,404,0.011064855390008765,0.02212971078001753,0.015873371692594625,0.030206515969905305
"('F', 'Y')",2,33,0,0.0018076248904469764,0,0.0025931745834436764,0
"('N', 'S')",2,0,330,0,0.018076248904469763,0,0.024673639282348392
"('P', 'R')",2,484,0,0.026511831726555652,0,0.03803322722384059,0
"('TH', 'R')",2,23,0,0.0012598597721297108,0,0.0018073641036122595,0
"('N', 'S', 'T')",3,0,3,0,0.00016432953549517967,0,0.00959877392527366
"('R', 'JH')",2,0,10,0,0.0005477651183172656,0,0.0007476860388590422
"('W',)",1,281,0,0.015392199824715163,0,0.008976031885104069,0
"('N', 'D')",2,0,136,0,0.007449605609114811,0,0.010168530128482973
"('G', 'L')",2,59,0,0.0032318141980718666,0,0.004636281831005361,0
"('V', 'Y')",2,2,0,0.00010955302366345311,0,0.00015716209596628342,0
"('M', 'F')",2,0,3,0,0.00016432953549517967,0,0.00022430581165771264
"('G', 'W')",2,5,0,0.0002738825591586328,0,0.00039290523991570854,0
"('K', 'L')",2,120,0,0.006573181419807186,0,0.009429725757977004,0
"('TH', 'W')",2,1,0,5.477651183172656e-05,0,7.858104798314171e-05,0
"('K', 'W')",2,90,0,0.00492988606485539,0,0.007072294318482755,0
"('M', 'Y')",2,28,0,0.0015337423312883436,0,0.0022002693435279677,0
"('S', 'K', 'R')",3,33,0,0.0018076248904469764,0,0.03711261085664165,0
"('K', 'S')",2,0,83,0,0.004546450482033304,0,0.00620579412253005
"('L', 'JH')",2,0,4,0,0.00021910604732690623,0,0.00029907441554361685
"('L', 'F', 'TH')",3,0,1,0,5.477651183172656e-05,0,0.003199591308424553
"('S', 'P')",2,128,9,0.007011393514460999,0.000492988606485539,0.010058374141842139,0.000672917434973138
"('HH',)",1,523,0,0.028648115687992987,0,0.0167062799854428,0
"('B',)",1,692,102,0.03790534618755478,0.005587204206836108,0.022104676386092578,0.002837631757771143
"('L', 'B')",2,0,1,0,5.477651183172656e-05,0,7.476860388590421e-05
"('NG', 'K', 'T')",3,0,9,0,0.000492988606485539,0,0.028796321775820977
"('NG', 'K', 'TH')",3,0,2,0,0.00010955302366345311,0,0.006399182616849106
"('R', 'Z')",2,0,1,0,5.477651183172656e-05,0,7.476860388590421e-05
"('D', 'TH')",2,0,3,0,0.00016432953549517967,0,0.00022430581165771264
"('R', 'K', 'S')",3,0,1,0,5.477651183172656e-05,0,0.003199591308424553
"('D', 'W')",2,3,0,0.00016432953549517967,0,0.00023574314394942512,0
"('NG', 'K', 'S')",3,0,6,0,0.00032865907099035934,0,0.01919754785054732
"('B', 'Y')",2,13,0,0.0007120946538124452,0,0.0010215536237808422,0
(),0,3690,4647,0.20212532865907099,0.2545464504820333,0.2349972535017852,0.21458919362400394
"('SH', 'R')",2,16,0,0.0008764241893076249,0,0.0012572967677302674,0
"('R', 'N')",2,0,22,0,0.0012050832602979841,0,0.001644909285489893
"('F', 'R')",2,106,0,0.005806310254163015,0,0.008329591086213022,0
"('L', 'Z')",2,0,1,0,5.477651183172656e-05,0,7.476860388590421e-05
"('N', 'ZH')",2,0,1,0,5.477651183172656e-05,0,7.476860388590421e-05
"('T',)",1,555,1346,0.03040096406660824,0.07372918492550394,0.017728461552429742,0.03744561123490155
"('N',)",1,377,2468,0.02065074496056091,0.13518843120070115,0.012042576586064889,0.06865956057038412
"('S', 'M')",2,22,0,0.0012050832602979841,0,0.0017287830556291176,0
"('TH',)",1,76,77,0.004163014899211218,0.004217791411042945,0.002427681221593983,0.002142133777925274
"('L',)",1,581,1898,0.031825153374233126,0.10396581945661701,0.018558984075606633,0.052802206629898325
"('S', 'P', 'R')",3,14,0,0.0007668711656441718,0,0.015744743999787366,0
"('L', 'N')",2,0,1,0,5.477651183172656e-05,0,7.476860388590421e-05
"('NG', 'TH')",2,0,2,0,0.00010955302366345311,0,0.00014953720777180843
"('S', 'P', 'Y')",3,2,0,0.00010955302366345311,0,0.0022492491428267665,0
"('K',)",1,1396,793,0.07646801051709028,0.04343777388255916,0.04459267085980526,0.022061195920710947
